country,item,element,domain,year,unit,value,flag_description,note
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2014,t,139.96,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2014,1000 USD,59,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2014,t,0.72,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2014,1000 USD,3,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2015,t,55428.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2015,kg/ha,9541.7,Official value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2015,t,107.91,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2015,1000 USD,14,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2015,t,1.07,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2015,1000 USD,3,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2016,t,40000.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2016,kg/ha,9101.3,Official value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2016,t,24.76,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2016,1000 USD,4,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2016,t,3.36,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2016,1000 USD,3,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2017,t,44990.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2017,kg/ha,9200.4,Official value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2017,t,21.7,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2017,1000 USD,10,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2017,t,3.19,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2017,1000 USD,3,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2018,t,49940.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2018,kg/ha,9369.1,Estimated value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2018,t,9.74,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2018,1000 USD,5,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2018,t,1.75,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2018,1000 USD,3,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2019,t,51039.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2019,kg/ha,9561.0,Estimated value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2019,t,25.15,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2019,1000 USD,31,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2019,t,1.45,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2019,1000 USD,10,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2020,t,55428.0,Official value,
Cameroon,"Ginger, raw",Yield,QCL_production,2020,kg/ha,9698.2,Estimated value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2020,t,46.87,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2020,1000 USD,22,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2020,t,12.64,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2020,1000 USD,5,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2021,t,55271.78,Value imputed by a receiving agency,
Cameroon,"Ginger, raw",Yield,QCL_production,2021,kg/ha,9863.3,Estimated value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2021,t,202.51,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2021,1000 USD,14,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2021,t,40.83,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2021,1000 USD,7,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2022,t,53384.26,Value imputed by a receiving agency,
Cameroon,"Ginger, raw",Yield,QCL_production,2022,kg/ha,10035.7,Estimated value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2022,t,320.99,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2022,1000 USD,37,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2022,t,42.52,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2022,1000 USD,7,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2023,t,52771.93,Value imputed by a receiving agency,
Cameroon,"Ginger, raw",Yield,QCL_production,2023,kg/ha,10202.9,Estimated value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2023,t,166.88,Official value,
Cameroon,"Ginger, raw",Export value,TCL_trade,2023,1000 USD,39,Official value,
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2023,t,3.51,Official value,
Cameroon,"Ginger, raw",Import value,TCL_trade,2023,1000 USD,4,Official value,
Cameroon,"Ginger, raw",Production,QCL_production,2024,t,52977.54,Value imputed by a receiving agency,
Cameroon,"Ginger, raw",Yield,QCL_production,2024,kg/ha,10370.0,Estimated value,
Cameroon,"Ginger, raw",Export quantity,TCL_trade,2024,t,466.91,Value imputed by a receiving agency,
Cameroon,"Ginger, raw",Export value,TCL_trade,2024,1000 USD,466,Value from external organization,Estimated data using trading partners database
Cameroon,"Ginger, raw",Import quantity,TCL_trade,2024,t,0.19,Value from external organization,Estimated data using trading partners database
Cameroon,"Ginger, raw",Import value,TCL_trade,2024,1000 USD,1,Value from external organization,Estimated data using trading partners database
Cameroon,Green garlic,Export quantity,TCL_trade,2007,t,1,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2007,1000 USD,0,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2007,t,947,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2007,1000 USD,650,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2008,t,1,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2008,1000 USD,0,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2008,t,801,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2008,1000 USD,625,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2009,t,2,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2009,1000 USD,2,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2009,t,654,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2009,1000 USD,524,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2010,t,0,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2010,1000 USD,0,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2010,t,504,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2010,1000 USD,351,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2011,t,0,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2011,1000 USD,0,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2011,t,903,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2011,1000 USD,637,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2012,t,0,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2012,1000 USD,0,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2012,t,602,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2012,1000 USD,409,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2013,t,11,Value from external organization,Estimated data using trading partners database
Cameroon,Green garlic,Export value,TCL_trade,2013,1000 USD,16,Value from external organization,Estimated data using trading partners database
Cameroon,Green garlic,Import quantity,TCL_trade,2013,t,748,Value from external organization,Estimated data using trading partners database
Cameroon,Green garlic,Import value,TCL_trade,2013,1000 USD,678,Value from external organization,Estimated data using trading partners database
Cameroon,Green garlic,Export quantity,TCL_trade,2014,t,0.3,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2014,1000 USD,1,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2014,t,1113.76,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2014,1000 USD,736,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2015,t,1344.7,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2015,1000 USD,815,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2016,t,2,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2016,1000 USD,6,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2016,t,1911.49,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2016,1000 USD,557,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2017,t,20,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2017,1000 USD,7,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2017,t,1865.28,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2017,1000 USD,413,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2018,t,5,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2018,1000 USD,1,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2018,t,1801.53,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2018,1000 USD,746,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2019,t,1.25,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2019,1000 USD,1,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2019,t,1133.29,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2019,1000 USD,649,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2020,t,21.36,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2020,1000 USD,6,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2020,t,881.9,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2020,1000 USD,353,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2021,t,0.01,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2021,1000 USD,0,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2021,t,1493.83,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2021,1000 USD,831,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2022,t,7.7,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2022,1000 USD,2,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2022,t,1635.81,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2022,1000 USD,906,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2023,t,0.39,Official value,
Cameroon,Green garlic,Export value,TCL_trade,2023,1000 USD,1,Official value,
Cameroon,Green garlic,Import quantity,TCL_trade,2023,t,1293.52,Official value,
Cameroon,Green garlic,Import value,TCL_trade,2023,1000 USD,866,Official value,
Cameroon,Green garlic,Export quantity,TCL_trade,2024,t,32.29,Value from external organization,Estimated data using trading partners database
Cameroon,Green garlic,Export value,TCL_trade,2024,1000 USD,66,Value from external organization,Estimated data using trading partners database
Cameroon,Green garlic,Import quantity,TCL_trade,2024,t,780.33,Value from external organization,Estimated data using trading partners database
Cameroon,Green garlic,Import value,TCL_trade,2024,1000 USD,1409,Value from external organization,Estimated data using trading partners database
Cameroon,Okra,Production,QCL_production,2007,t,40552.0,Official value,
Cameroon,Okra,Yield,QCL_production,2007,kg/ha,2700.0,Official value,
Cameroon,Okra,Production,QCL_production,2008,t,41585.0,Official value,
Cameroon,Okra,Yield,QCL_production,2008,kg/ha,2700.0,Official value,
Cameroon,Okra,Production,QCL_production,2009,t,47169.0,Official value,
Cameroon,Okra,Yield,QCL_production,2009,kg/ha,2533.0,Official value,
Cameroon,Okra,Production,QCL_production,2010,t,60384.0,Official value,
Cameroon,Okra,Yield,QCL_production,2010,kg/ha,2515.6,Official value,
Cameroon,Okra,Production,QCL_production,2011,t,63533.0,Official value,
Cameroon,Okra,Yield,QCL_production,2011,kg/ha,1984.2,Official value,
Cameroon,Okra,Production,QCL_production,2012,t,69060.0,Official value,
Cameroon,Okra,Yield,QCL_production,2012,kg/ha,2345.2,Official value,
Cameroon,Okra,Production,QCL_production,2013,t,75284.0,Official value,
Cameroon,Okra,Yield,QCL_production,2013,kg/ha,2532.9,Official value,
Cameroon,Okra,Production,QCL_production,2014,t,75960.0,Official value,
Cameroon,Okra,Yield,QCL_production,2014,kg/ha,2642.1,Official value,
Cameroon,Okra,Production,QCL_production,2015,t,77935.0,Official value,
Cameroon,Okra,Yield,QCL_production,2015,kg/ha,2640.6,Official value,
Cameroon,Okra,Production,QCL_production,2016,t,78763.0,Official value,
Cameroon,Okra,Yield,QCL_production,2016,kg/ha,2359.8,Official value,
Cameroon,Okra,Production,QCL_production,2017,t,69060.0,Official value,
Cameroon,Okra,Yield,QCL_production,2017,kg/ha,2260.8,Estimated value,
Cameroon,Okra,Production,QCL_production,2018,t,75252.67,Estimated value,
Cameroon,Okra,Yield,QCL_production,2018,kg/ha,2416.1,Estimated value,
Cameroon,Okra,Production,QCL_production,2019,t,74358.56,Estimated value,
Cameroon,Okra,Yield,QCL_production,2019,kg/ha,2427.3,Estimated value,
Cameroon,Okra,Production,QCL_production,2020,t,76052.2,Value imputed by a receiving agency,
Cameroon,Okra,Yield,QCL_production,2020,kg/ha,2493.4,Estimated value,
Cameroon,Okra,Production,QCL_production,2021,t,75221.14,Estimated value,
Cameroon,Okra,Yield,QCL_production,2021,kg/ha,2420.2,Estimated value,
Cameroon,Okra,Production,QCL_production,2022,t,75210.63,Estimated value,
Cameroon,Okra,Yield,QCL_production,2022,kg/ha,2382.6,Estimated value,
Cameroon,Okra,Production,QCL_production,2023,t,75494.66,Estimated value,
Cameroon,Okra,Yield,QCL_production,2023,kg/ha,2374.6,Estimated value,
Cameroon,Okra,Production,QCL_production,2024,t,75308.81,Estimated value,
Cameroon,Okra,Yield,QCL_production,2024,kg/ha,2352.3,Estimated value,
Cameroon,Onions,Food supply (kcal/capita/day),FBS_supply_demand,2010,kcal/cap/d,3.46,Estimated value,
Cameroon,Onions,Food supply quantity (kg/capita/yr),FBS_supply_demand,2010,kg/cap,3.23,Estimated value,
Cameroon,Onions,Import quantity,FBS_supply_demand,2010,t,4444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,Value imputed by a receiving agency,
Cameroon,Onions,Production,FBS_supply_demand,2010,t,65656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565,Value imputed by a receiving agency,
Cameroon,Onions,Food supply (kcal/capita/day),FBS_supply_demand,2011,kcal/cap/d,5.7,Estimated value,
Cameroon,Onions,Food supply quantity (kg/capita/yr),FBS_supply_demand,2011,kg/cap,5.32,Estimated value,
Cameroon,Onions,Import quantity,FBS_supply_demand,2011,t,3333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,Value imputed by a receiving agency,
Cameroon,Onions,Production,FBS_supply_demand,2011,t,114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114114,Value imputed by a receiving agency,
Cameroon,Onions,Food supply (kcal/capita/day),FBS_supply_demand,2012,kcal/cap/d,9.6,Estimated value,
Cameroon,Onions,Food supply quantity (kg/capita/yr),FBS_supply_demand,2012,kg/cap,8.96,Estimated value,
Cameroon,Onions,Import quantity,FBS_supply_demand,2012,t,5555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555,Value imputed by a receiving agency,
Cameroon,Onions,Production,FBS_supply_demand,2012,t,198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198198,Value imputed by a receiving agency,
Cameroon,Onions,Food supply (kcal/capita/day),FBS_supply_demand,2013,kcal/cap/d,9.82,Estimated value,
Cameroon,Onions,Food supply quantity (kg/capita/yr),FBS_supply_demand,2013,kg/cap,9.17,Estimated value,
Cameroon,Onions,Import quantity,FBS_supply_demand,2013,t,5555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555,Value imputed by a receiving agency,
